"vary","value","sim","model","fdr_threshold","sensitivity","false_positives","n_significant","observed_fdr"
"households",10,4,"Simple univariate",0.1,1,26,31,0.838709677419355
"households",10,4,"Simple univariate",0.2,1,36,41,0.878048780487805
"households",10,4,"Covariate-adjusted",0.05,0.4,2,4,0.5
"households",10,4,"Covariate-adjusted",0.1,0.6,5,8,0.625
"households",10,4,"Covariate-adjusted",0.2,0.6,19,22,0.863636363636364
"households",10,5,"Simple univariate",0.05,1,15,20,0.75
"households",10,5,"Simple univariate",0.1,1,18,23,0.782608695652174
"households",10,5,"Simple univariate",0.2,1,29,34,0.852941176470588
"households",10,5,"Covariate-adjusted",0.05,0.8,12,16,0.75
"households",10,5,"Covariate-adjusted",0.1,1,15,20,0.75
"households",10,5,"Covariate-adjusted",0.2,1,28,33,0.848484848484849
"households",10,6,"Simple univariate",0.05,0.4,25,27,0.925925925925926
"households",10,6,"Simple univariate",0.1,0.4,32,34,0.941176470588235
"households",10,6,"Simple univariate",0.2,0.6,43,46,0.934782608695652
"households",10,6,"Covariate-adjusted",0.05,0.2,14,15,0.933333333333333
"households",10,6,"Covariate-adjusted",0.1,0.2,18,19,0.947368421052632
"households",10,6,"Covariate-adjusted",0.2,0.2,33,34,0.970588235294118
"households",10,7,"Simple univariate",0.05,1,12,17,0.705882352941177
"households",10,7,"Simple univariate",0.1,1,16,21,0.761904761904762
"households",10,7,"Simple univariate",0.2,1,21,26,0.807692307692308
"households",10,7,"Covariate-adjusted",0.05,0.6,5,8,0.625
"households",10,7,"Covariate-adjusted",0.1,0.6,6,9,0.666666666666667
"households",10,7,"Covariate-adjusted",0.2,0.6,9,12,0.75
"households",10,8,"Simple univariate",0.05,1,20,25,0.8
"households",10,8,"Simple univariate",0.1,1,21,26,0.807692307692308
"households",10,8,"Simple univariate",0.2,1,32,37,0.864864864864865
"households",10,8,"Covariate-adjusted",0.05,0.8,6,10,0.6
"households",10,8,"Covariate-adjusted",0.1,1,13,18,0.722222222222222
"households",10,8,"Covariate-adjusted",0.2,1,20,25,0.8
"households",10,9,"Simple univariate",0.05,1,21,26,0.807692307692308
"households",10,9,"Simple univariate",0.1,1,25,30,0.833333333333333
"households",10,9,"Simple univariate",0.2,1,35,40,0.875
"households",10,9,"Covariate-adjusted",0.05,0.8,7,11,0.636363636363636
"households",10,9,"Covariate-adjusted",0.1,0.8,13,17,0.764705882352941
"households",10,9,"Covariate-adjusted",0.2,0.8,25,29,0.862068965517241
"households",10,10,"Simple univariate",0.05,0.6,35,38,0.921052631578947
"households",10,10,"Simple univariate",0.1,0.6,41,44,0.931818181818182
"households",10,10,"Simple univariate",0.2,0.6,46,49,0.938775510204082
"households",10,10,"Covariate-adjusted",0.05,0.4,12,14,0.857142857142857
"households",10,10,"Covariate-adjusted",0.1,0.4,25,27,0.925925925925926
"households",10,10,"Covariate-adjusted",0.2,0.4,29,31,0.935483870967742
"households",10,11,"Simple univariate",0.05,0.8,15,19,0.789473684210526
"households",10,11,"Simple univariate",0.1,0.8,22,26,0.846153846153846
"households",10,11,"Simple univariate",0.2,1,33,38,0.868421052631579
"households",10,11,"Covariate-adjusted",0.05,0.6,13,16,0.8125
"households",10,11,"Covariate-adjusted",0.1,0.6,22,25,0.88
"households",10,11,"Covariate-adjusted",0.2,0.8,25,29,0.862068965517241
"households",10,12,"Simple univariate",0.05,1,22,27,0.814814814814815
"households",10,12,"Simple univariate",0.1,1,31,36,0.861111111111111
"households",10,12,"Simple univariate",0.2,1,41,46,0.891304347826087
"households",10,12,"Covariate-adjusted",0.05,0.4,18,20,0.9
"households",10,12,"Covariate-adjusted",0.1,0.6,22,25,0.88
"households",10,12,"Covariate-adjusted",0.2,0.6,29,32,0.90625
"households",10,13,"Simple univariate",0.05,0.8,21,25,0.84
"households",10,13,"Simple univariate",0.1,0.8,23,27,0.851851851851852
"households",10,13,"Simple univariate",0.2,1,39,44,0.886363636363636
"households",10,13,"Covariate-adjusted",0.05,0.8,18,22,0.818181818181818
"households",10,13,"Covariate-adjusted",0.1,0.8,22,26,0.846153846153846
"households",10,13,"Covariate-adjusted",0.2,1,29,34,0.852941176470588
"households",10,14,"Simple univariate",0.05,1,25,30,0.833333333333333
"households",10,14,"Simple univariate",0.1,1,34,39,0.871794871794872
"households",10,14,"Simple univariate",0.2,1,46,51,0.901960784313726
"households",10,14,"Covariate-adjusted",0.05,1,24,29,0.827586206896552
"households",10,14,"Covariate-adjusted",0.1,1,31,36,0.861111111111111
"households",10,14,"Covariate-adjusted",0.2,1,39,44,0.886363636363636
"households",10,15,"Simple univariate",0.05,1,12,17,0.705882352941177
"households",10,15,"Simple univariate",0.1,1,23,28,0.821428571428571
"households",10,15,"Simple univariate",0.2,1,36,41,0.878048780487805
"households",10,15,"Covariate-adjusted",0.05,0.6,6,9,0.666666666666667
"households",10,15,"Covariate-adjusted",0.1,0.6,10,13,0.769230769230769
"households",10,15,"Covariate-adjusted",0.2,0.6,24,27,0.888888888888889
"households",10,16,"Simple univariate",0.05,0.8,16,20,0.8
"households",10,16,"Simple univariate",0.1,0.8,19,23,0.826086956521739
"households",10,16,"Simple univariate",0.2,0.8,33,37,0.891891891891892
"households",10,16,"Covariate-adjusted",0.05,0.6,11,14,0.785714285714286
"households",10,16,"Covariate-adjusted",0.1,0.6,16,19,0.842105263157895
"households",10,16,"Covariate-adjusted",0.2,0.6,21,24,0.875
"households",10,17,"Simple univariate",0.05,0.8,15,19,0.789473684210526
"households",10,17,"Simple univariate",0.1,0.8,18,22,0.818181818181818
"households",10,17,"Simple univariate",0.2,0.8,27,31,0.870967741935484
"households",10,17,"Covariate-adjusted",0.05,0.6,10,13,0.769230769230769
"households",10,17,"Covariate-adjusted",0.1,0.8,15,19,0.789473684210526
"households",10,17,"Covariate-adjusted",0.2,0.8,28,32,0.875
"households",10,18,"Simple univariate",0.05,0.8,18,22,0.818181818181818
"households",10,18,"Simple univariate",0.1,0.8,27,31,0.870967741935484
"households",10,18,"Simple univariate",0.2,0.8,40,44,0.909090909090909
"households",10,18,"Covariate-adjusted",0.05,0.8,7,11,0.636363636363636
"households",10,18,"Covariate-adjusted",0.1,0.8,19,23,0.826086956521739
"households",10,18,"Covariate-adjusted",0.2,0.8,34,38,0.894736842105263
"households",10,19,"Simple univariate",0.05,0.8,21,25,0.84
"households",10,19,"Simple univariate",0.1,1,35,40,0.875
"households",10,19,"Simple univariate",0.2,1,38,43,0.883720930232558
"households",10,19,"Covariate-adjusted",0.05,0.6,11,14,0.785714285714286
"households",10,19,"Covariate-adjusted",0.1,0.6,16,19,0.842105263157895
"households",10,19,"Covariate-adjusted",0.2,0.8,21,25,0.84
"households",10,20,"Simple univariate",0.05,0.8,19,23,0.826086956521739
"households",10,20,"Simple univariate",0.1,0.8,23,27,0.851851851851852
"households",10,20,"Simple univariate",0.2,0.8,28,32,0.875
"households",10,20,"Covariate-adjusted",0.05,0.4,9,11,0.818181818181818
"households",10,20,"Covariate-adjusted",0.1,0.4,10,12,0.833333333333333
"households",10,20,"Covariate-adjusted",0.2,0.6,23,26,0.884615384615385
"households",10,21,"Simple univariate",0.05,0.8,17,21,0.80952380952381
"households",10,21,"Simple univariate",0.1,0.8,25,29,0.862068965517241
"households",10,21,"Simple univariate",0.2,0.8,42,46,0.91304347826087
"households",10,21,"Covariate-adjusted",0.05,0.8,9,13,0.692307692307692
"households",10,21,"Covariate-adjusted",0.1,0.8,21,25,0.84
"households",10,21,"Covariate-adjusted",0.2,0.8,29,33,0.878787878787879
"households",10,22,"Simple univariate",0.05,1,18,23,0.782608695652174
"households",10,22,"Simple univariate",0.1,1,22,27,0.814814814814815
"households",10,22,"Simple univariate",0.2,1,37,42,0.880952380952381
"households",10,22,"Covariate-adjusted",0.05,0.8,11,15,0.733333333333333
"households",10,22,"Covariate-adjusted",0.1,0.8,14,18,0.777777777777778
"households",10,22,"Covariate-adjusted",0.2,1,28,33,0.848484848484849
"households",10,23,"Simple univariate",0.05,0.4,22,24,0.916666666666667
"households",10,23,"Simple univariate",0.1,0.4,24,26,0.923076923076923
"households",10,23,"Simple univariate",0.2,0.6,31,34,0.911764705882353
"households",10,23,"Covariate-adjusted",0.05,0.4,10,12,0.833333333333333
"households",10,23,"Covariate-adjusted",0.1,0.4,18,20,0.9
"households",10,23,"Covariate-adjusted",0.2,0.4,29,31,0.935483870967742
"households",10,24,"Simple univariate",0.05,0.4,18,20,0.9
"households",10,24,"Simple univariate",0.1,0.6,20,23,0.869565217391304
"households",10,24,"Simple univariate",0.2,0.8,27,31,0.870967741935484
"households",10,24,"Covariate-adjusted",0.05,0.2,10,11,0.909090909090909
"households",10,24,"Covariate-adjusted",0.1,0.4,18,20,0.9
"households",10,24,"Covariate-adjusted",0.2,0.4,28,30,0.933333333333333
"households",10,25,"Simple univariate",0.05,0.6,26,29,0.896551724137931
"households",10,25,"Simple univariate",0.1,0.6,28,31,0.903225806451613
"households",10,25,"Simple univariate",0.2,0.6,34,37,0.918918918918919
"households",10,25,"Covariate-adjusted",0.05,0,24,24,1
"households",10,25,"Covariate-adjusted",0.1,0,27,27,1
"households",10,25,"Covariate-adjusted",0.2,0,29,29,1
"households",10,26,"Simple univariate",0.05,0.6,26,29,0.896551724137931
"households",10,26,"Simple univariate",0.1,0.6,41,44,0.931818181818182
"households",10,26,"Simple univariate",0.2,0.8,47,51,0.92156862745098
"households",10,26,"Covariate-adjusted",0.05,0.2,24,25,0.96
"households",10,26,"Covariate-adjusted",0.1,0.4,27,29,0.931034482758621
"households",10,26,"Covariate-adjusted",0.2,0.6,36,39,0.923076923076923
"households",10,27,"Simple univariate",0.05,0.6,20,23,0.869565217391304
"households",10,27,"Simple univariate",0.1,0.8,26,30,0.866666666666667
"households",10,27,"Simple univariate",0.2,0.8,35,39,0.897435897435897
"households",10,27,"Covariate-adjusted",0.05,0.4,16,18,0.888888888888889
"households",10,27,"Covariate-adjusted",0.1,0.6,18,21,0.857142857142857
"households",10,27,"Covariate-adjusted",0.2,0.6,22,25,0.88
"households",10,28,"Simple univariate",0.05,1,25,30,0.833333333333333
"households",10,28,"Simple univariate",0.1,1,32,37,0.864864864864865
"households",10,28,"Simple univariate",0.2,1,40,45,0.888888888888889
"households",10,28,"Covariate-adjusted",0.05,0.8,15,19,0.789473684210526
"households",10,28,"Covariate-adjusted",0.1,0.8,21,25,0.84
"households",10,28,"Covariate-adjusted",0.2,1,38,43,0.883720930232558
"households",10,29,"Simple univariate",0.05,0.8,24,28,0.857142857142857
"households",10,29,"Simple univariate",0.1,1,26,31,0.838709677419355
"households",10,29,"Simple univariate",0.2,1,41,46,0.891304347826087
"households",10,29,"Covariate-adjusted",0.05,0.4,20,22,0.909090909090909
"households",10,29,"Covariate-adjusted",0.1,0.8,27,31,0.870967741935484
"households",10,29,"Covariate-adjusted",0.2,1,35,40,0.875
"households",10,30,"Simple univariate",0.05,0.6,23,26,0.884615384615385
"households",10,30,"Simple univariate",0.1,0.6,31,34,0.911764705882353
"households",10,30,"Simple univariate",0.2,0.6,38,41,0.926829268292683
"households",10,30,"Covariate-adjusted",0.05,0.4,19,21,0.904761904761905
"households",10,30,"Covariate-adjusted",0.1,0.4,25,27,0.925925925925926
"households",10,30,"Covariate-adjusted",0.2,0.6,31,34,0.911764705882353
"households",10,31,"Simple univariate",0.05,1,24,29,0.827586206896552
"households",10,31,"Simple univariate",0.1,1,30,35,0.857142857142857
"households",10,31,"Simple univariate",0.2,1,35,40,0.875
"households",10,31,"Covariate-adjusted",0.05,0.8,5,9,0.555555555555556
"households",10,31,"Covariate-adjusted",0.1,0.8,9,13,0.692307692307692
"households",10,31,"Covariate-adjusted",0.2,0.8,15,19,0.789473684210526
"households",10,32,"Simple univariate",0.05,1,21,26,0.807692307692308
"households",10,32,"Simple univariate",0.1,1,27,32,0.84375
"households",10,32,"Simple univariate",0.2,1,33,38,0.868421052631579
"households",10,32,"Covariate-adjusted",0.05,0.4,13,15,0.866666666666667
"households",10,32,"Covariate-adjusted",0.1,0.6,20,23,0.869565217391304
"households",10,32,"Covariate-adjusted",0.2,0.8,27,31,0.870967741935484
"households",10,33,"Simple univariate",0.05,0.6,14,17,0.823529411764706
