"households","sim","method","sensitivity","false_positives","n_significant","observed_fdr"
160,46,"Mediation (Direct class)",0.6,12,15,0.8
160,46,"Strict mediation",0,12,12,1
160,47,"Standard (total FDR<0.05)",1,25,30,0.833333333333333
160,47,"Adjusted (direct FDR<0.05)",1,15,20,0.75
160,47,"Mediation (Direct class)",0.8,8,12,0.666666666666667
160,47,"Strict mediation",0,7,7,1
160,48,"Standard (total FDR<0.05)",1,25,30,0.833333333333333
160,48,"Adjusted (direct FDR<0.05)",1,20,25,0.8
160,48,"Mediation (Direct class)",0.8,14,18,0.777777777777778
160,48,"Strict mediation",0,11,11,1
160,49,"Standard (total FDR<0.05)",1,27,32,0.84375
160,49,"Adjusted (direct FDR<0.05)",0.8,18,22,0.818181818181818
160,49,"Mediation (Direct class)",0.6,15,18,0.833333333333333
160,49,"Strict mediation",0,15,15,1
160,50,"Standard (total FDR<0.05)",1,33,38,0.868421052631579
160,50,"Adjusted (direct FDR<0.05)",1,21,26,0.807692307692308
160,50,"Mediation (Direct class)",0.8,15,19,0.789473684210526
160,50,"Strict mediation",0,15,15,1
