"households","sim","method","sensitivity","false_positives","n_significant","observed_fdr"
10,16,"Standard (total FDR<0.05)",0.8,16,20,0.8
10,16,"Adjusted (direct FDR<0.05)",0.6,11,14,0.785714285714286
10,16,"Mediation (Direct class)",0.6,8,11,0.727272727272727
10,16,"Strict mediation",0,2,2,1
10,17,"Standard (total FDR<0.05)",0.8,15,19,0.789473684210526
10,17,"Adjusted (direct FDR<0.05)",0.6,10,13,0.769230769230769
10,17,"Mediation (Direct class)",0.4,8,10,0.8
10,17,"Strict mediation",0,4,4,1
10,18,"Standard (total FDR<0.05)",0.8,18,22,0.818181818181818
10,18,"Adjusted (direct FDR<0.05)",0.8,7,11,0.636363636363636
10,18,"Mediation (Direct class)",0.6,5,8,0.625
10,18,"Strict mediation",0,1,1,1
10,19,"Standard (total FDR<0.05)",0.8,21,25,0.84
10,19,"Adjusted (direct FDR<0.05)",0.6,11,14,0.785714285714286
10,19,"Mediation (Direct class)",0.6,8,11,0.727272727272727
10,19,"Strict mediation",0,5,5,1
10,20,"Standard (total FDR<0.05)",0.8,19,23,0.826086956521739
10,20,"Adjusted (direct FDR<0.05)",0.4,9,11,0.818181818181818
10,20,"Mediation (Direct class)",0.4,7,9,0.777777777777778
10,20,"Strict mediation",0,4,4,1
10,21,"Standard (total FDR<0.05)",0.8,17,21,0.80952380952381
10,21,"Adjusted (direct FDR<0.05)",0.8,9,13,0.692307692307692
10,21,"Mediation (Direct class)",0.6,7,10,0.7
10,21,"Strict mediation",0,3,3,1
10,22,"Standard (total FDR<0.05)",1,18,23,0.782608695652174
10,22,"Adjusted (direct FDR<0.05)",0.8,11,15,0.733333333333333
10,22,"Mediation (Direct class)",0.8,10,14,0.714285714285714
10,22,"Strict mediation",0,7,7,1
10,23,"Standard (total FDR<0.05)",0.4,22,24,0.916666666666667
10,23,"Adjusted (direct FDR<0.05)",0.4,10,12,0.833333333333333
10,23,"Mediation (Direct class)",0.2,10,11,0.909090909090909
10,23,"Strict mediation",0,5,5,1
10,24,"Standard (total FDR<0.05)",0.4,18,20,0.9
10,24,"Adjusted (direct FDR<0.05)",0.2,10,11,0.909090909090909
10,24,"Mediation (Direct class)",0.2,9,10,0.9
10,24,"Strict mediation",0,3,3,1
10,25,"Standard (total FDR<0.05)",0.6,26,29,0.896551724137931
10,25,"Adjusted (direct FDR<0.05)",0,24,24,1
10,25,"Mediation (Direct class)",0,22,22,1
10,25,"Strict mediation",0,12,12,1
10,26,"Standard (total FDR<0.05)",0.6,26,29,0.896551724137931
10,26,"Adjusted (direct FDR<0.05)",0.2,24,25,0.96
10,26,"Mediation (Direct class)",0.2,20,21,0.952380952380952
10,26,"Strict mediation",0,11,11,1
10,27,"Standard (total FDR<0.05)",0.6,20,23,0.869565217391304
10,27,"Adjusted (direct FDR<0.05)",0.4,16,18,0.888888888888889
10,27,"Mediation (Direct class)",0.4,12,14,0.857142857142857
10,27,"Strict mediation",0,7,7,1
10,28,"Standard (total FDR<0.05)",1,25,30,0.833333333333333
10,28,"Adjusted (direct FDR<0.05)",0.8,15,19,0.789473684210526
10,28,"Mediation (Direct class)",0.6,11,14,0.785714285714286
10,28,"Strict mediation",0,3,3,1
10,29,"Standard (total FDR<0.05)",0.8,24,28,0.857142857142857
10,29,"Adjusted (direct FDR<0.05)",0.4,20,22,0.909090909090909
10,29,"Mediation (Direct class)",0.4,14,16,0.875
10,29,"Strict mediation",0,10,10,1
10,30,"Standard (total FDR<0.05)",0.6,23,26,0.884615384615385
10,30,"Adjusted (direct FDR<0.05)",0.4,19,21,0.904761904761905
10,30,"Mediation (Direct class)",0.4,11,13,0.846153846153846
10,30,"Strict mediation",0,5,5,1
10,31,"Standard (total FDR<0.05)",1,24,29,0.827586206896552
10,31,"Adjusted (direct FDR<0.05)",0.8,5,9,0.555555555555556
10,31,"Mediation (Direct class)",0.6,5,8,0.625
10,31,"Strict mediation",0,2,2,1
10,32,"Standard (total FDR<0.05)",1,21,26,0.807692307692308
10,32,"Adjusted (direct FDR<0.05)",0.4,13,15,0.866666666666667
10,32,"Mediation (Direct class)",0.4,11,13,0.846153846153846
10,32,"Strict mediation",0,5,5,1
10,33,"Standard (total FDR<0.05)",0.6,14,17,0.823529411764706
10,33,"Adjusted (direct FDR<0.05)",0.2,10,11,0.909090909090909
10,33,"Mediation (Direct class)",0.2,8,9,0.888888888888889
10,33,"Strict mediation",0,5,5,1
10,34,"Standard (total FDR<0.05)",0.4,15,17,0.882352941176471
10,34,"Adjusted (direct FDR<0.05)",0.2,9,10,0.9
10,34,"Mediation (Direct class)",0.2,6,7,0.857142857142857
10,34,"Strict mediation",0,2,2,1
10,35,"Standard (total FDR<0.05)",0.8,15,19,0.789473684210526
10,35,"Adjusted (direct FDR<0.05)",0.4,2,4,0.5
10,35,"Mediation (Direct class)",0.4,2,4,0.5
10,35,"Strict mediation",0,1,1,1
10,36,"Standard (total FDR<0.05)",1,18,23,0.782608695652174
10,36,"Adjusted (direct FDR<0.05)",0.2,5,6,0.833333333333333
10,36,"Mediation (Direct class)",0.2,5,6,0.833333333333333
10,36,"Strict mediation",0,2,2,1
10,37,"Standard (total FDR<0.05)",0.6,8,11,0.727272727272727
10,37,"Adjusted (direct FDR<0.05)",0.2,1,2,0.5
10,37,"Mediation (Direct class)",0.2,1,2,0.5
10,37,"Strict mediation",0,1,1,1
10,38,"Standard (total FDR<0.05)",1,22,27,0.814814814814815
10,38,"Adjusted (direct FDR<0.05)",0.4,6,8,0.75
10,38,"Mediation (Direct class)",0.4,4,6,0.666666666666667
10,38,"Strict mediation",0,1,1,1
10,39,"Standard (total FDR<0.05)",0.8,22,26,0.846153846153846
10,39,"Adjusted (direct FDR<0.05)",0.6,16,19,0.842105263157895
10,39,"Mediation (Direct class)",0.4,12,14,0.857142857142857
10,39,"Strict mediation",0,8,8,1
10,40,"Standard (total FDR<0.05)",0.8,20,24,0.833333333333333
10,40,"Adjusted (direct FDR<0.05)",0.4,9,11,0.818181818181818
10,40,"Mediation (Direct class)",0.4,6,8,0.75
10,40,"Strict mediation",0,4,4,1
10,41,"Standard (total FDR<0.05)",0.4,19,21,0.904761904761905
10,41,"Adjusted (direct FDR<0.05)",0.4,6,8,0.75
